avatarThumbnail,cid,createTime,createTimeISO,detailedMentions/0/nickName,detailedMentions/0/profileUrl,detailedMentions/0/secUid,detailedMentions/0/userId,detailedMentions/1/nickName,detailedMentions/1/profileUrl,detailedMentions/1/secUid,detailedMentions/1/userId,likes,input,likedByAuthor,mentions/0,mentions/1,pinnedByAuthor,repliesToId,replyCommentTotal,submittedVideoUrl,comment,uniqueId,videoWebUrl,anon_user,stable_index
https://p19-common-sign.tiktokcdn-us.com/tos-useast8-avt-0068-tx2/085d750d9a90b02f121a3aff0640dd70~tplv-tiktokx-cropcenter:100:100.jpg?dr=9640&refresh_token=9df6a40a&x-expires=1762308000&x-signature=i7VGZeHB4p7q%2BJhfMz72PXVNJ3U%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=useast5,7562192797802988319,1760710268,2025-10-17T14:11:08.000Z,,,,,,,,,0,https://www.tiktok.com/@carlasaraiucg/video/7562032016686910738,False,,,False,,1,https://www.tiktok.com/@carlasaraiucg/video/7562032016686910738,Te amo,nathaliaseq,https://www.tiktok.com/@carlasaraiucg/video/7562032016686910738,User_1,0
https://p16-pu-sign-no.tiktokcdn-eu.com/tos-no1a-avt-0068c001-no/5df309acb4e9d21ba4ffc2fcca29cb45~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=9232ad12&x-expires=1762308000&x-signature=%2FNFvmKX3G4LYeK8tZ6zLXxowlM4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,7562228227394011926,1760718475,2025-10-17T16:27:55.000Z,,,,,,,,,98,https://www.tiktok.com/@paretay/video/7562041226669657374,False,,,False,,9,https://www.tiktok.com/@paretay/video/7562041226669657374,"if i want to see a fattie, I'll look in a mirror 😭",lavenderhaze1990,https://www.tiktok.com/@paretay/video/7562041226669657374,User_2,1
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/1bfc854d92fb89a00eafd9ff423b98ba~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=42212955&x-expires=1762308000&x-signature=7zoEFKovvcAMbSsm3ZfbieP%2B4TE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,7562273196515820301,1760728971,2025-10-17T19:22:51.000Z,,,,,,,,,13,https://www.tiktok.com/@paretay/video/7562041226669657374,False,,,False,,3,https://www.tiktok.com/@paretay/video/7562041226669657374,who cares,hueninghoney,https://www.tiktok.com/@paretay/video/7562041226669657374,User_3,2
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7328322982378799109~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=5f265a2b&x-expires=1762308000&x-signature=wvzFvwQogHvISrCM3Uy8VNAF1gs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,7562609247726027533,1760807210,2025-10-18T17:06:50.000Z,,,,,,,,,3,https://www.tiktok.com/@paretay/video/7562041226669657374,False,,,False,,4,https://www.tiktok.com/@paretay/video/7562041226669657374,Were not Goddesses. No one is,yawdgirl,https://www.tiktok.com/@paretay/video/7562041226669657374,User_4,3
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/55bd4606d5ce48aaf44bb06db60e58df~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=72c5e770&x-expires=1762308000&x-signature=e1lYrb6%2BhfaQXXqk9wfNqpRV9ZY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,7562061905859527455,1760679796,2025-10-17T05:43:16.000Z,,,,,,,,,1,https://www.tiktok.com/@paretay/video/7562041226669657374,False,,,False,,3,https://www.tiktok.com/@paretay/video/7562041226669657374,"Hahid sisters , Hailey walked so influencers could runnnn",hertwoscents,https://www.tiktok.com/@paretay/video/7562041226669657374,User_5,4
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7335048626391941126~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=a41cd56f&x-expires=1762308000&x-signature=UACtHoGDZP7wRlRfOcYBIcrn4Ek%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,7562045955101623095,1760676058,2025-10-17T04:40:58.000Z,,,,,,,,,43,https://www.tiktok.com/@paretay/video/7562041226669657374,False,,,False,,6,https://www.tiktok.com/@paretay/video/7562041226669657374,"100 percent agree, I do believe bella hadid has earned her place!",jonjohnnyjohn,https://www.tiktok.com/@paretay/video/7562041226669657374,User_6,5
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/7352635853937573931~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=0d56b438&x-expires=1762308000&x-signature=QyJTv%2B15YWU4fSz2AJpKyZYVsFQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,7562257037984318263,1760725195,2025-10-17T18:19:55.000Z,,,,,,,,,5,https://www.tiktok.com/@paretay/video/7562041226669657374,False,,,False,,1,https://www.tiktok.com/@paretay/video/7562041226669657374,Yeah I want complete professionals supermodels only who can WALK,mshelleyu,https://www.tiktok.com/@paretay/video/7562041226669657374,User_7,6
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/4499c3fd931bb317e0efd5b08efeee68~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=8ab33e1b&x-expires=1762308000&x-signature=BREsttbSYqHJqEnV9PuSPEdVkqM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,7562044067996058423,1760675619,2025-10-17T04:33:39.000Z,,,,,,,,,126,https://www.tiktok.com/@paretay/video/7562041226669657374,False,,,False,,3,https://www.tiktok.com/@paretay/video/7562041226669657374,i totally agree. it ruins the essence and originality of the show ugh,mothafuckuh,https://www.tiktok.com/@paretay/video/7562041226669657374,User_8,7
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c205bfd6b688592863803df190aacb95~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=c77218b4&x-expires=1762308000&x-signature=bt%2FSe5%2B0Ybl0eiY0XlyXkXNMaSg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,7562355128583209759,1760748044,2025-10-18T00:40:44.000Z,,,,,,,,,9,https://www.tiktok.com/@paretay/video/7562041226669657374,False,,,False,,3,https://www.tiktok.com/@paretay/video/7562041226669657374,It’s the Super Bowl of runway shows!!! The Stanley cup! The NBA finals!!!! I don’t wanna watch an average guy playing next to LeBron or tom Brady.,kyrasantoro,https://www.tiktok.com/@paretay/video/7562041226669657374,User_9,8
https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/44cffce5776f4b009fb26772dbf4bce9~tplv-tiktokx-cropcenter:100:100.jpg?dr=10399&refresh_token=8e051e84&x-expires=1762308000&x-signature=2EaZPYDKXXMugjCtYfWOs4aexHA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=no1a,7562049839724036894,1760676965,2025-10-17T04:56:05.000Z,,,,,,,,,14,https://www.tiktok.com/@paretay/video/7562041226669657374,False,,,False,,2,https://www.tiktok.com/@paretay/video/7562041226669657374,yess clout is ruining it. gabi and quen should’ve never been allowed to step foot on that runway. they being behind tripods not on runways sorry. i’m not old enough to have watched the early 2000s shows but i can remember watching the 2016 one and being absolutely blown away and 2016 show is nothing compared to the early 2000s one. i didn’t even have a fraction of that feeling that i felt in 2016 for this yrs show :/ it’s tragic this has what’s happened to it,pray444luv,https://www.tiktok.com/@paretay/video/7562041226669657374,User_10,9
